delta_ws_total,delta_ws_of,delta_ws_def,delta_per,delta_usg,delta_bpm,delta_rating_of_jug,delta_rating_def_jug,delta_efg,delta_faltas_cometidas,delta_perdidas_balon,delta_puntos,delta_asistencias,delta_rebotes_totales,delta_robos,delta_tapones,delta_tiros_libres,delta_real_puntos,delta_real_asistencias,delta_real_reb_def,delta_real_robos,delta_real_tapones,equipo1_gana
-1.1015000000000001,-0.7262,-0.3608555555555555,-3.2582222222222246,-3.4705555555555527,-1.9944166666666665,1.2777777777777715,-7.799999999999997,0.0063777777777778155,0.10555555555555562,0.12222222222222223,-0.8055555555555554,-0.22222222222222232,0.011111111111111072,0.19444444444444442,-0.09999999999999998,49.966144444444446,0.7545454545454557,0.42727272727272725,0.34545454545454524,-0.1909090909090908,-0.7181818181818183,0
0.8253560371517032,0.7449535603715172,-0.0011578947368422465,1.625386996904023,2.2543653250774014,0.5585015479876159,-8.012383900928796,3.9164086687306536,-0.0017120743034056418,0.009287925696594312,-0.15170278637770895,-0.043343653250774494,-0.27554179566563475,0.4241486068111455,0.07739938080495357,0.34984520123839,-0.042542763157894514,-1.333333333333334,-0.9642857142857144,-0.5833333333333335,-0.09523809523809523,-0.023809523809523836,0
-0.573888888888888,-0.45561111111111074,-0.21050000000000013,-1.0988888888888901,-1.0727777777777732,-0.2899999999999998,4.1111111111111,7.333333333333329,0.00915359477124189,-0.3333333333333335,-0.4999999999999999,0.055555555555557135,0.11111111111111116,-0.2777777777777777,0.0,-0.055555555555555525,-58.76252941176471,-1.428571428571428,0.4285714285714286,-0.5,0.1428571428571429,0.21428571428571427,0
1.470350877192982,1.0248362573099423,0.5644736842105265,0.6830994152046781,0.3242982456140382,0.5624385964912277,8.89473684210526,-0.8274853801169684,0.0516286549707603,-0.4590643274853803,0.16374269005847963,0.8362573099415211,-0.2748538011695907,0.2719298245614037,0.06725146198830412,0.08187134502923976,0.003368421052631687,0.8461538461538449,-0.2307692307692304,-0.5384615384615388,0.23076923076923073,0.0,1
0.2117647058823522,-0.04888854489164096,0.33414860681114567,0.00792569659443032,0.6795046439628436,-0.19584210526315793,-2.1950464396284843,7.996904024767801,0.010730650154798682,0.16099071207430327,-0.052631578947368474,0.21052631578947434,0.28792569659442724,0.021671826625387247,-0.41795665634674917,-0.10835913312693501,9.85837171052632,-1.6318681318681314,0.30219780219780246,0.08791208791208804,0.09340659340659341,-0.5,0
-0.12894736842105248,-0.19715497076023403,0.04642105263157914,0.8276900584795346,-0.3339473684210539,0.9283596491228072,-3.187134502923982,5.1140350877193015,-55.48544444444444,0.19590643274853803,-0.049707602339181256,0.8479532163742682,-0.06140350877192979,0.5555555555555554,0.19298245614035087,0.011695906432748537,-55.078577205882354,-1.5,-0.5666666666666664,-0.6000000000000001,0.36666666666666664,-0.0222222222222222,0
0.3350154798761613,0.07031269349845193,0.016349845201238722,0.9954489164086713,1.236346749226012,1.5790464396284831,4.835913312693492,-6.086687306501545,0.0019287925696594987,0.08359133126934992,0.1331269349845201,-0.5665634674922604,-0.0866873065015481,0.1609907120743035,0.034055727554179516,0.20123839009287925,0.02309210526315786,1.3636363636363633,0.5454545454545454,0.4545454545454546,0.2727272727272727,0.36363636363636365,1
-0.07704347826086888,0.09671739130434842,-0.0890326086956521,2.0384347826086966,2.398934782608695,0.9454978260869566,-4.84347826086956,-3.3521739130434867,-0.034867391304347795,-0.15434782608695663,-0.22608695652173894,-0.5369565217391301,-0.04782608695652213,0.26086956521739113,-0.1630434782608695,0.04565217391304344,52.605109839816926,1.537878787878789,0.6893939393939397,1.772727272727273,0.08333333333333337,0.7651515151515151,1
-2.255775401069519,-1.620775401069519,-0.58342513368984,-2.8794117647058837,-1.4138502673796793,-2.745122994652407,11.692513368983953,-0.917112299465245,0.07384224598930483,-0.03208556149732611,0.32887700534759357,0.7673796791443852,0.042780748663101775,0.13101604278074852,0.07754010695187163,0.08823529411764708,117.50306417112299,1.8888888888888893,0.5777777777777775,0.45555555555555527,0.5222222222222224,0.6,1
0.43370588235294116,0.10955588235294078,0.16749999999999998,3.2887058823529376,0.22138235294117692,1.6999735294117646,-2.982352941176458,-0.5117647058823422,-62.464482352941175,0.061764705882352944,0.1588235294117648,0.17058823529411704,-0.10882352941176454,-0.21176470588235263,-0.061764705882352944,-0.06470588235294117,9.929516447368428,1.647435897435897,0.41025641025641035,0.21794871794871806,0.8525641025641024,-0.05128205128205132,1
